id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,11,MANCHURYAN NUDAL,120,K,MANCHURYAN NUDAL.jpg,,,
,12,VANILA ,25,L,VANILA .jpg,,,
,12,CHOCOLATE,40,L,CHOCOLATE.jpg,,,
,12,STROBERY,30,L,STROBERY.jpg,,,
,12,KESAR PISTA,35,L,KESAR PISTA.jpg,,,
,12,MANGO cup,25,L,MANGO cup.jpg,,,
,13,RAVA KESARI,50,M,RAVA KESARI.jpg,,,
,13,FRUT SALAD,80,M,FRUT SALAD.jpg,,,
,13,FRUT SALAD WITH ICE CREEM,80,M,FRUT SALAD WITH ICE CREEM.jpg,,,
,14,TEA,25,N,TEA.jpg,,,
,14,COFFIY,35,N,COFFIY.jpg,,,
,14,BORNVITA ,35,N,BORNVITA .jpg,,,
,14,HARLICS ,35,N,HARLICS .jpg,,,
,14,FILTER COFFEI,35,N,FILTER COFFEI.jpg,,,
,16,AMV,50,P,AMV.jpg,,,
,27,MENDU VADA,50,#N/A,MENDU VADA.jpg,,,
,19,ONIYAN UTHTTAPPA,75,S,ONIYAN UTHTTAPPA.jpg,,,
,19,TOMATO UTTHAPPA,75,S,TOMATO UTTHAPPA.jpg,,,
,19,ONIYAN TOMATO UTTHAPPA,75,S,ONIYAN TOMATO UTTHAPPA.jpg,,,
,19,ONIYAN CHILLY UTTHAPPA,75,S,ONIYAN CHILLY UTTHAPPA.jpg,,,
,14,MILK GLASS,40,N,MILK GLASS.jpg,,,
,23,EXTR CHOLA,40,W,EXTR CHOLA.jpg,,,
,16,HALF  MV,25,P,HALF  MV.jpg,,,
,16,HALF DV,25,P,HALF DV.jpg,,,
,5,BUTTER DAL FRY ,90,E,BUTTER DAL FRY .jpg,,,
,5,JAIN BTTUR DAL FRY,90,E,JAIN BTTUR DAL FRY.jpg,,,
,14,GREEN TEA,30,N,GREEN TEA.jpg,,,
,7,HALF JEERA RICE,40,G,HALF JEERA RICE.jpg,,,
,7,HALF PLAIN RICE,30,G,HALF PLAIN RICE.jpg,,,
,25,EXTRA CHEEZ 60,60,Y,EXTRA CHEEZ 60.jpg,,,
,25,EXTRA CHEEZ,30,Y,EXTRA CHEEZ.jpg,,,
